val_loss,step,epoch,train_loss
0.691925048828125,5,0,
,5,0,0.6922404170036316
0.68695068359375,11,1,
,11,1,0.6888325810432434
0.667205810546875,17,2,
,17,2,0.6706746220588684
0.619964599609375,23,3,
,23,3,0.624725341796875
0.58990478515625,29,4,
,29,4,0.576690673828125
0.564544677734375,35,5,
,35,5,0.528106689453125
0.560089111328125,41,6,
,41,6,0.4912973940372467
0.549224853515625,47,7,
,47,7,0.4648590087890625
0.5516357421875,53,8,
,53,8,0.4423675537109375
0.55157470703125,59,9,
,59,9,0.4223378598690033
0.545501708984375,65,10,
,65,10,0.4023946225643158
0.550140380859375,71,11,
,71,11,0.3886972963809967
0.5601043701171875,77,12,
,77,12,0.376739501953125
0.5523529052734375,83,13,
,83,13,0.3719940185546875
0.5475311279296875,89,14,
,89,14,0.3704122006893158
0.5498809814453125,95,15,
,95,15,0.3658650815486908
